"Gene_name";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj";"diffexpressed"
"1";"Adhfe1";74.535;-2.074;0.288;-7.211;0;0;"Downregulated"
"2";"Tram2";1162.07;1.172;0.093;12.568;0;0;"Upregulated"
"3";"Ptpn18";267.869;-1.132;0.16;-7.052;0;0;"Downregulated"
"4";"Gm37146";51.33;1.335;0.307;4.351;0;0;"Upregulated"
"5";"Hs6st1";23359.809;1.174;0.051;22.905;0;0;"Upregulated"
"6";"Neurl3";8891.373;-1.02;0.057;-18.024;0;0;"Downregulated"
"7";"Cnnm4";5457.583;1.512;0.055;27.726;0;0;"Upregulated"
"8";"Cnnm3";1887.355;1.049;0.066;16.004;0;0;"Upregulated"
"9";"Sema4c";3077.767;1.304;0.061;21.317;0;0;"Upregulated"
"10";"D430040D24Rik";76.828;1.813;0.299;6.069;0;0;"Upregulated"
"11";"Fam178b";28.29;2.037;0.463;4.401;0;0;"Upregulated"
"12";"Il1rl1";21.968;2.359;0.505;4.67;0;0;"Upregulated"
"13";"Il18r1";17.892;2.82;0.607;4.643;0;0;"Upregulated"
"14";"Il18rap";2515.66;2.074;0.087;23.756;0;0;"Upregulated"
"15";"Aox1";1140.15;1.242;0.081;15.339;0;0;"Upregulated"
"16";"Flacc1";81.08;1.504;0.246;6.118;0;0;"Upregulated"
"17";"Gm8883";50.888;1.495;0.313;4.776;0;0;"Upregulated"
"18";"Epha4";1095.269;-1.067;0.089;-12.016;0;0;"Downregulated"
"19";"Ccl20";1286.653;-1.78;0.082;-21.676;0;0;"Downregulated"
"20";"Chrnd";44.436;-3.326;0.447;-7.435;0;0;"Downregulated"
"21";"Ackr3";1093.851;1.493;0.083;17.97;0;0;"Upregulated"
"22";"Rab17";273.593;-1.358;0.162;-8.371;0;0;"Downregulated"
"23";"Klhl30";181.225;4.082;0.234;17.409;0;0;"Upregulated"
"24";"Dusp28";785.472;1.71;0.096;17.741;0;0;"Upregulated"
"25";"Mab21l4";5713.272;3.356;0.063;53.404;0;0;"Upregulated"
"26";"Crocc2";149.355;4.588;0.278;16.498;0;0;"Upregulated"
"27";"Rnf152";708.077;2.112;0.116;18.212;0;0;"Upregulated"
"28";"Gm28403";27.147;3.507;0.548;6.403;0;0;"Upregulated"
"29";"Serpinb8";273.145;1.736;0.141;12.276;0;0;"Upregulated"
"30";"AA986860";95.694;1.067;0.221;4.819;0;0;"Upregulated"
"31";"Pigr";99.25;-2.821;0.305;-9.252;0;0;"Downregulated"
"32";"Dyrk3";2637.782;1.312;0.075;17.511;0;0;"Upregulated"
"33";"Gm29695";190.713;1.617;0.175;9.253;0;0;"Upregulated"
"34";"Nuak2";2855.776;1.06;0.061;17.325;0;0;"Upregulated"
"35";"F730311O21Rik";77.652;2.148;0.268;8.024;0;0;"Upregulated"
"36";"Cntn2";26.393;2.093;0.477;4.386;0;0;"Upregulated"
"37";"Atp2b4";1814.883;2.24;0.076;29.315;0;0;"Upregulated"
"38";"Ppp1r12b";7964.277;1.598;0.069;23.038;0;0;"Upregulated"
"39";"Elf3";2698.011;-1.245;0.066;-18.911;0;0;"Downregulated"
"40";"Tnnt2";12593.603;1.682;0.072;23.494;0;0;"Upregulated"
"41";"Mroh3";31.554;2.898;0.461;6.282;0;0;"Upregulated"
"42";"Inava";4939.001;2.09;0.061;34.246;0;0;"Upregulated"
"43";"Ptgs2os";216.781;1.659;0.167;9.947;0;0;"Upregulated"
"44";"Ptgs2";7171.92;1.192;0.148;8.06;0;0;"Upregulated"
"45";"Lamc2";40049.093;1.234;0.05;24.792;0;0;"Upregulated"
"46";"Selp";145.989;2.561;0.212;12.074;0;0;"Upregulated"
"47";"Rgs5";35.015;4.148;0.52;7.983;0;0;"Upregulated"
"48";"Gm7694";290.697;-1.636;0.149;-11;0;0;"Downregulated"
"49";"Nos1ap";158.012;-1.636;0.197;-8.286;0;0;"Downregulated"
"50";"Fcrlb";44.347;3.329;0.439;7.584;0;0;"Upregulated"
"51";"Fcgr4";73.652;1.433;0.267;5.373;0;0;"Upregulated"
"52";"Aim2";268.641;-1.155;0.149;-7.747;0;0;"Downregulated"
"53";"Ifi205";117.397;-1.486;0.219;-6.798;0;0;"Downregulated"
"54";"Hmga2-ps1";1011.81;1.809;0.089;20.33;0;0;"Upregulated"
"55";"Ephx1";482.858;-1.284;0.145;-8.88;0;0;"Downregulated"
"56";"Dnah14";60.44;1.843;0.294;6.276;0;0;"Upregulated"
"57";"Hlx";208.141;1.089;0.176;6.184;0;0;"Upregulated"
"58";"Tgfb2";67.463;1.382;0.269;5.139;0;0;"Upregulated"
"59";"Kcnk2";774.466;-1.453;0.105;-13.805;0;0;"Downregulated"
"60";"Sertad4";3463.431;1.298;0.06;21.525;0;0;"Upregulated"
"61";"Lamb3";13641.524;1.13;0.048;23.522;0;0;"Upregulated"
"62";"Itga8";388.439;-2.249;0.133;-16.956;0;0;"Downregulated"
"63";"Il36a";83.489;-1.879;0.27;-6.953;0;0;"Downregulated"
"64";"Lrrc26";70.614;-2.923;0.323;-9.044;0;0;"Downregulated"
"65";"Ptgds";33.864;-2.568;0.433;-5.929;0;0;"Downregulated"
"66";"Nacc2";465.684;1.167;0.12;9.695;0;0;"Upregulated"
"67";"Snhg7os";61.549;1.88;0.362;5.189;0;0;"Upregulated"
"68";"Hmcn2";51.378;4.278;0.446;9.589;0;0;"Upregulated"
"69";"Ass1";421.553;3.831;0.148;25.967;0;0;"Upregulated"
"70";"Ak1";290.373;2.969;0.162;18.319;0;0;"Upregulated"
"71";"Hspa5";111023.769;1.171;0.067;17.366;0;0;"Upregulated"
"72";"Itgb6";844.226;1.401;0.093;15.021;0;0;"Upregulated"
"73";"Scn3a";223.386;1.356;0.169;8.037;0;0;"Upregulated"
"74";"Chrna1";52.897;3.624;0.387;9.365;0;0;"Upregulated"
